Year,Gov_agency_Cod,Sup_Gov_agency_Cod,Planned,Released,Gov_agency_Name,Sup_Gov_agency_Name,Paid_out
2015,41903,24000,"252.280.789,95","252.280.789,95",Fundo para o Desenvolvimento Tecnologico das Telecomunicacoes ,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","224.372.956,35"
2015,42000,42000,"3.101.391,78","1.618.336,78",Ministerio da Cultura - Unidades com vinculo direto,Ministerio da Cultura,"1.618.336,78"
2015,42207,55000,"154.854.047,79","129.306.143,44",Instituto Brasileiro de Museus,Ministerio da Cidadania,"129.195.187,65"
2015,44000,44000,"344.933.246,35","320.092.573,08",Ministerio do Meio Ambiente - Unidades com vinculo direto,Ministerio do Meio Ambiente,"320.030.504,29"
2015,44204,44000,"2.390.962,85","26.713,25",Fundo Nacional do Meio Ambiente,Ministerio do Meio Ambiente,"26.713,25"
2015,44205,53000,"364.048.641,92","266.379.583,72",Agencia Nacional de aÅguas,Ministerio do Desenvolvimento Regional,"266.379.583,72"
2015,44206,44000,"64.975.967,75","61.390.469,20",Instituto de Pesquisas Jardim Bota¢nico do Rio de Janeiro,Ministerio do Meio Ambiente,"60.740.586,85"
2015,44207,44000,"588.675.211,62","536.502.218,06",Instituto Chico Mendes de Conservacao da Biodiversidade,Ministerio do Meio Ambiente,"512.879.740,62"
2015,44208,22000,"15.935.240,64","8.241.564,88",Servico Florestal Brasileiro,"Ministerio da Agricultura, Pecuaria e Abastecimento","8.190.488,88"
2015,44902,44000,"362.234.132,09",0,Fundo Nacional sobre Mudanca no Clima,Ministerio do Meio Ambiente,0
2015,49000,49000,"160.308.925,83","8.169.792,37",Ministerio do Desenvolvimento Agrario - Unidades com vinculo direto,Ministerio do Desenvolvimento Agrario,"8.114.412,10"
2015,49001,22000,"168.000.000,00","168.000.000,00",Fundo de Terras e da Reforma Agraria,"Ministerio da Agricultura, Pecuaria e Abastecimento","168.000.000,00"
2015,49901,39000,"5.253.225.349,06","5.060.373.823,47",Departamento do Fundo da Marinha Mercante,"Ministerio dos Transportes, Portos e Aviacao Civil","5.037.037.349,46"
2015,52000,52000,"1.149.767.739,46","782.527.183,56",Ministerio da Defesa - Unidades com vinculo direto,Ministerio da Defesa,"749.290.085,42"
2015,52111,52000,"22.170.509.871,03","19.553.192.465,12",Comando da Aeronautica,Ministerio da Defesa,"18.787.389.160,71"
2015,52121,52000,"35.961.895.069,35","34.295.726.971,39",Comando do Exercito,Ministerio da Defesa,"33.700.954.636,21"
2015,52131,52000,"21.472.738.403,86","20.577.581.258,79",Comando da Marinha,Ministerio da Defesa,"19.465.409.748,91"
2015,52132,52000,"605.358.361,04","532.341.542,86",Comando da Marinha - Fundo Naval,Ministerio da Defesa,"478.796.480,00"
2015,52133,52000,"95.376.839,50","83.962.337,40",Fundo de Desenvolvimento do Ensino Profissional Maritimo,Ministerio da Defesa,"48.634.033,84"
2015,52211,52000,"3.079.663,47","2.882.885,88",Caixa de Financiamento Imobiliario da Aeronautica,Ministerio da Defesa,"2.882.410,33"
2015,52221,52000,"214.744.219,38","192.249.998,69",Industria de Material Belico do Brasil,Ministerio da Defesa,"188.386.222,07"
2015,52222,52000,"16.938.822,15","16.767.179,60",Fundacao Osorio,Ministerio da Defesa,"16.767.028,16"
2015,52233,52000,"34.959.084,16","28.751.241,39",Amazonia Azul Tecnologia de Defesa S.A.,Ministerio da Defesa,"23.464.823,54"
2015,52904,52000,"1.112.634.676,85","991.397.013,32",Fundo do Exercito,Ministerio da Defesa,"754.188.658,40"
2015,53000,53000,"23.142.216.998,55","17.111.787.771,84",Ministerio do Desenvolvimento Regional - Unidades com vinculo direto,Ministerio do Desenvolvimento Regional,"17.071.621.303,42"
2015,53202,53000,"63.823.432,18","38.818.813,60",Superintendencia do Desenvolvimento da Amazonia,Ministerio do Desenvolvimento Regional,"38.593.025,93"
2015,53203,53000,"67.031.588,79","63.522.235,89",Superintendencia do Desenvolvimento do Nordeste,Ministerio do Desenvolvimento Regional,"48.234.235,89"
2015,53207,53000,"60.249.825,11","21.482.443,72",Superintendencia de Desenvolvimento do Centro-Oeste,Ministerio do Desenvolvimento Regional,"21.437.883,21"
2015,53901,53000,"2.103.776.970,17","2.028.516.310,62",Fundo Constitucional de Financiamento do Norte,Ministerio do Desenvolvimento Regional,"2.028.516.310,62"
2015,53902,53000,"2.103.776.970,17","2.028.516.310,62",Fundo Constitucional de Financiamento do Centro-Oeste,Ministerio do Desenvolvimento Regional,"2.028.516.310,62"
2015,53903,53000,"6.311.330.946,81","6.085.548.968,36",Fundo Constitucional de Financiamento do Nordeste,Ministerio do Desenvolvimento Regional,"6.085.548.968,36"
2015,54000,54000,"510.245.741,41","98.055.801,79",Ministerio do Turismo - Unidades com vinculo direto,Ministerio do Turismo,"98.055.801,79"
2015,54901,54000,"44.081.358,00",0,Fundo Geral de Turismo,Ministerio do Turismo,0
2015,55000,55000,"30.169.502.470,04","27.801.457.952,07",Ministerio da Cidadania - Unidades com vinculo direto,Ministerio da Cidadania,"27.788.703.787,47"
2015,55001,55000,"2.868.824.740,32","1.815.008.860,89",Fundo Nacional de Assistencia Social,Ministerio da Cidadania,"1.815.008.860,89"
